,real_price_test,predict_price_test
0,63.23,62.97465515136719
1,62.75,62.07795715332031
2,62.029999999999994,61.63423156738281
3,61.68,60.9686393737793
4,60.83,60.64509201049805
5,60.72,59.85932159423828
6,60.98,59.75763702392578
7,61.650000000000006,59.99798583984375
8,61.09,60.61735916137695
9,60.40999999999999,60.09967041015625
10,59.83,59.47106170654297
11,59.40999999999999,58.93488311767578
12,58.33,58.54662322998047
13,57.0,57.54823684692383
14,56.45,56.318748474121094
15,56.93,55.81031036376953
16,56.39999999999999,56.25403594970703
17,56.53,55.76408767700195
18,55.38000000000001,55.88425827026367
