,real_price_test,predict_price_test
0,56247312.0,97069424.0
1,45020712.0,60479612.0
2,58586512.0,51213932.0
3,27029716.0,62324996.0
4,49465060.0,34919084.0
5,41994888.0,54963576.0
6,38739232.0,48599228.0
7,78275416.0,45729528.0
8,75075552.0,76726632.0
9,71213136.0,74521104.0
10,53230208.0,71790000.0
11,51553816.0,58056328.0
12,80695576.0,56688764.0
13,73912792.0,78360688.0
14,35874840.0,73706888.0
15,66463320.00000001,43156064.0
16,39782132.0,68326776.0
17,75189048.0,46655184.0
18,91498808.0,74600208.0
