,real_price_test,predict_price_test
0,63.1,63.2601203918457
1,62.2,63.011619567871094
2,61.81,62.11703872680664
3,61.47,61.72937774658203
4,60.65,61.39142608642578
5,60.33,60.576358795166016
6,60.95,60.25828170776367
7,60.849999999999994,60.874549865722656
8,61.04999999999999,60.775150299072266
9,60.02,60.97394943237305
10,59.05,59.95014572143555
11,59.15,58.98597717285156
12,58.1,59.08537673950195
13,56.89999999999999,58.041690826416016
14,56.15,56.848907470703125
15,55.690000000000005,56.10342025756836
16,56.32000000000001,55.64618682861328
17,56.42999999999999,56.272396087646484
18,55.14999999999999,56.381736755371094
