,real_price_test,predict_price_test
0,63.04,63.03647232055664
1,62.4,62.952369689941406
2,61.15,62.40803909301758
3,61.15,61.315887451171875
4,60.33,61.315887451171875
5,60.32,60.57990646362305
6,60.60999999999999,60.570838928222656
7,61.35,60.83287811279297
8,60.09,61.493106842041016
9,59.419999999999995,60.36173629760742
10,59.0,59.746376037597656
11,58.27,59.3560676574707
12,57.15,58.669742584228516
13,56.49,57.59852981567383
14,56.4,56.957767486572266
15,56.36,56.86988067626953
16,55.45000000000001,56.83078384399414
17,55.04999999999999,55.93515396118164
18,54.25,55.5379638671875
